inflammation	patient.info link
ankylosing spondylitis	https://patient.info/forums/discuss/browse/ankylosing-spondylitis-40
appendicitis	https://patient.info/forums/discuss/browse/appendicitis-3323
arteritis	https://patient.info/forums/discuss/browse/polymyalgia-rheumatica-and-gca-1708
arthritis	https://patient.info/forums/discuss/browse/arthritis-241
arthritis reactive	https://patient.info/forums/discuss/browse/reactive-arthritis-1981
balanitis	https://patient.info/forums/discuss/browse/penis-disorders-3405
blepharitis	https://patient.info/forums/discuss/browse/blepharitis-256
bronchitis acute	https://patient.info/forums/discuss/browse/respiratory-symptoms-and-disorders-2014
bronchitis chronic	https://patient.info/forums/discuss/browse/chronic-obstructive-pulmonary-disease-446
bursitis	https://patient.info/forums/discuss/browse/elbow-problems-1323
cellulitis	https://patient.info/forums/discuss/browse/cellulitis-391
cholangitis	https://patient.info/forums/discuss/browse/liver-problems-1354
cholecystitis	https://patient.info/forums/discuss/browse/gallbladder-problems-3340
colitis	https://patient.info/forums/discuss/browse/bowel-disorders-300
colitis ulcerative	https://patient.info/forums/discuss/browse/ulcerative-colitis-2357
cystitis	https://patient.info/forums/discuss/browse/cystitis-454
dermatitis eczema	https://patient.info/forums/discuss/browse/dermatitis-and-eczema-694
encephalitis	https://patient.info/forums/discuss/browse/infectious-disease-1281
fasciitis	https://patient.info/forums/discuss/browse/plantar-fasciitis-1725
folliculitis	https://patient.info/forums/discuss/browse/folliculitis-903
gastritis	https://patient.info/forums/discuss/browse/abdominal-disorders-3321
glomerulonephritis	https://patient.info/forums/discuss/browse/kidney-problems-3341
hepatitis	https://patient.info/forums/discuss/browse/hepatitis-4
hidradenitis	https://patient.info/forums/discuss/browse/hidradenitis-suppurativa-1120
labyrinthitis	https://patient.info/forums/discuss/browse/vertigo-and-dizziness-2395
laryngitis	https://patient.info/forums/discuss/browse/sore-throat-2261
mastitis	https://patient.info/forums/discuss/browse/breast-pain-lumps-and-disorders-253
oesophagitis	https://patient.info/forums/discuss/browse/reflux-oesophagitis-1969
orchitis	https://patient.info/forums/discuss/browse/testicular-pain-and-disorders-2248
osteoarthritis	https://patient.info/forums/discuss/browse/osteoarthritis-1632
osteomyelitis	https://patient.info/forums/discuss/browse/osteomyelitis-1648
otitis externa	https://patient.info/forums/discuss/browse/ear-problems-3342
pancreatitis	https://patient.info/forums/discuss/browse/pancreatitis-and-pancreatic-disorders-1933
pericarditis	https://patient.info/forums/discuss/browse/cardiovascular-disorders-1070
pneumonitis	https://patient.info/forums/discuss/browse/pulmonary-fibrosis-1760
psoriatic arthritis	https://patient.info/forums/discuss/browse/psoriasis-and-psoriatic-arthritis-1737
pyelonephritis	https://patient.info/forums/discuss/browse/urinary-tract-infection-2367
rheumatoid arthritis	https://patient.info/forums/discuss/browse/rheumatoid-arthritis-1968
rhinitis	https://patient.info/forums/discuss/browse/rhinitis-1971
scleritis episcleritis	https://patient.info/forums/discuss/browse/scleritis-and-episcleritis-2084
sinusitis	https://patient.info/forums/discuss/browse/sinusitis-2076
thyroiditis	https://patient.info/forums/discuss/browse/thyroid-and-parathyroid-disorders-2244
urethritis	https://patient.info/forums/discuss/browse/sexual-health-2124
vaginitis	https://patient.info/forums/discuss/browse/atrophic-vaginitis-8
vasculitis	https://patient.info/forums/discuss/browse/vasculitis-2442
vulvitis	https://patient.info/forums/discuss/browse/candida-genital-421
